Membership No  Date Joined  Active  
    16942      2020-1-11    no    
    55059      2020-6-9     yes   
    84421      2015-8-2     yes   
    93872      2018-9-1     no    
    54815      2018-2-21    yes   
    48036      2019-9-1     yes   
    74443      2020-4-12    yes   
    22593      2017-12-17   no    
    30779      2019-5-8     no    
    85703      2017-2-13    yes   
    26532      2020-9-22    yes   
    98701      2020-1-4     yes   
    53038      2017-4-12    no    
    84353      2019-12-17   no    
    44622      2019-4-3     yes   
    23707      2015-2-12    no    
    96877      2017-4-14    no    
    89683      2018-1-18    no    
    39708      2016-5-11    no    
    91691      2020-7-21    yes   
